Municipality,Adress,CompanyType,Emission_NH3,Smell_Emission,Particle_Emission,Lat,Lon,CloseToN2000
Altena,Moleneind 6,Dairy Cattle,1.595 kg/jaar,0 Ou/s,"17,31 kg/jaar",51.72840325796647,5.0223459963096735,True
Altena,Den Oudert 33,Dairy Cattle,357 kg/jaar,0 Ou/s,"3,80 kg/jaar",51.76951298694482,5.11503562628114,True
Alphen-Chaam,Kloosterstraat 27,Dairy Cattle,196 kg/jaar,0 Ou/s,"2,05 kg/jaar",51.530591282641126,4.851438521316695,True
Alphen-Chaam,Strijbeekseweg 38,Beef Cattle,1.435 kg/jaar,6.052 Ou/s,"32,80 kg/jaar",51.5188350044022,4.7925406637578325,True
Alphen-Chaam,Strijbeekseweg 40,Horses,232 kg/jaar,0 Ou/s,"0,00 kg/jaar",51.5184927796833,4.794187840103248,True
Alphen-Chaam,Strijbeekseweg 40C,Fattening Pigs,0 kg/jaar,0 Ou/s,"0,00 kg/jaar",51.5170328646786,4.795258765433784,True
Alphen-Chaam,Notselseweg 1,Dairy Cattle,266 kg/jaar,142 Ou/s,"2,81 kg/jaar",51.52947125878442,4.79101773566248,True
Alphen-Chaam,Chaamseweg 17,Fattening Pigs,0 kg/jaar,0 Ou/s,"0,00 kg/jaar",51.537335826404174,4.804955253379951,True
Alphen-Chaam,Cauwelaerseweg 5A,Fattening Pigs,0 kg/jaar,0 Ou/s,"0,00 kg/jaar",51.53945008472651,4.807090576033922,True
Alphen-Chaam,Daesdonckseweg 7,Dairy Cattle,1.565 kg/jaar,0 Ou/s,"16,94 kg/jaar",51.52839929978348,4.778406222019458,True
Alphen-Chaam,Galderseweg 19,Dairy Cattle,1.095 kg/jaar,0 Ou/s,"11,59 kg/jaar",51.5165975307058,4.780509597025585,True
Alphen-Chaam,Galderseweg 5,Dairy Cattle,4.312 kg/jaar,7.120 Ou/s,"69,91 kg/jaar",51.5220851736967,4.774354956533948,True
