Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
0,2014,Appingedam,12065,5845,6215,41.0,43.0,8.0,16.99,0.49,13.02,5525,33.0,72.0,28.0,48.0,52.0,2700.0,1350.0,20.2,10.8,5275
6,2014,Bedum,10495,5245,5245,44.0,46.0,5.0,16.47,0.41,11.02,4310,34.0,86.0,14.0,68.0,32.0,3000.0,1550.0,21.1,6.6,4815
14,2014,Bellingwedde,3980,1980,2000,38.0,47.0,8.0,17.55,0.42,11.12,1830,39.0,94.0,6.0,71.0,27.0,3400.0,1800.0,19.9,11.2,2360
44,2014,Ten Boer,6090,3000,3090,43.0,45.0,5.0,16.56,0.44,11.52,2365,34.0,89.0,11.0,77.0,23.0,3000.0,1550.0,20.9,6.9,2750
56,2014,Delfzijl,17415,8650,8765,40.0,43.0,8.0,16.68,0.45,12.58,8125,32.0,70.0,30.0,55.0,45.0,2750.0,1350.0,20.3,13.2,7595
82,2014,Groningen,18695,9790,8905,84.0,9.0,5.0,18.19,0.77,19.41,14860,15.0,17.0,83.0,18.0,76.0,2300.0,1150.0,17.9,24.4,3405
201,2014,Grootegast,5275,2670,2600,44.0,45.0,5.0,16.74,0.43,11.51,2110,31.0,91.0,9.0,67.0,33.0,3300.0,1650.0,18.1,9.1,2685
217,2014,Haren,17050,8055,8995,42.0,43.0,7.0,16.96,0.54,15.01,7755,32.0,75.0,25.0,67.0,33.0,3050.0,1750.0,28.6,7.7,8115
231,2014,Hoogezand-Sappemeer,6790,3320,3470,45.0,37.0,9.0,17.09,0.52,13.54,3545,30.0,49.0,51.0,48.0,52.0,2500.0,1250.0,19.5,14.8,3140
281,2014,Leek,10695,5180,5515,42.0,45.0,7.0,16.73,0.47,11.93,4610,33.0,84.0,16.0,57.0,43.0,3050.0,1450.0,20.5,8.7,4960
307,2014,Loppersum,3725,1845,1875,40.0,47.0,6.0,16.54,0.41,10.99,1615,35.0,88.0,12.0,62.0,38.0,3050.0,1600.0,21.0,8.1,1745
332,2014,Marum,8035,4095,3940,45.0,45.0,5.0,16.75,0.45,12.3,3170,32.0,92.0,8.0,70.0,30.0,3350.0,1650.0,20.3,8.1,4345
349,2014,Almere,22005,10620,11385,46.0,39.0,11.0,19.49,0.75,15.12,10205,29.0,67.0,33.0,53.0,47.0,3150.0,1150.0,22.8,14.6,8960
412,2014,Stadskanaal,19660,9615,10040,40.0,44.0,8.0,17.41,0.49,12.76,9055,34.0,72.0,28.0,54.0,43.0,2900.0,1450.0,18.8,12.8,9465
442,2014,Slochteren,4525,2320,2205,42.0,46.0,6.0,16.64,0.44,11.42,1975,37.0,97.0,3.0,70.0,29.0,3250.0,1700.0,21.4,8.9,2635
478,2014,Veendam,20035,9780,10255,41.0,43.0,8.0,17.22,0.55,13.97,9005,33.0,75.0,25.0,61.0,38.0,2850.0,1500.0,19.3,12.2,9605
497,2014,Vlagtwedde,1885,915,965,34.0,53.0,6.0,18.07,0.42,11.36,835,45.0,94.0,6.0,78.0,21.0,3300.0,1850.0,20.0,7.8,1100
542,2014,Zeewolde,21500,10940,10555,47.0,44.0,7.0,19.78,0.7,14.43,8460,28.0,86.0,14.0,66.0,33.0,3400.0,1000.0,23.4,8.6,13135
551,2014,Winsum,7595,3730,3865,43.0,45.0,6.0,16.34,0.42,11.17,3095,32.0,91.0,9.0,69.0,31.0,3000.0,1450.0,20.9,7.9,3230
573,2014,Zuidhorn,9665,4750,4915,44.0,46.0,5.0,16.71,0.45,12.97,3760,32.0,87.0,13.0,74.0,25.0,3050.0,1550.0,22.4,6.0,4325
599,2014,Dongeradeel,12620,6120,6500,44.0,43.0,6.0,15.96,0.41,11.48,5530,32.0,83.0,17.0,52.0,47.0,2500.0,1350.0,18.9,11.5,5690
702,2014,Achtkarspelen,12100,6175,5925,45.0,44.0,5.0,16.85,0.43,11.59,4950,32.0,91.0,9.0,63.0,36.0,2850.0,1500.0,17.9,11.6,5945
726,2014,Ameland,3575,1755,1820,45.0,45.0,5.0,15.32,0.31,9.0,1590,33.0,83.0,17.0,67.0,28.0,3250.0,1650.0,19.6,10.1,1680
733,2014,het Bildt,7080,3565,3515,46.0,42.0,6.0,15.48,0.36,9.74,2960,32.0,94.0,6.0,62.0,38.0,2650.0,1400.0,18.9,10.8,3445
751,2014,Franekeradeel,9480,4645,4835,42.0,43.0,8.0,16.26,0.44,11.55,4550,34.0,78.0,22.0,57.0,42.0,2550.0,1300.0,19.3,11.6,4155
802,2014,Harlingen,14690,7340,7350,44.0,41.0,9.0,15.94,0.42,11.63,6750,31.0,76.0,24.0,54.0,45.0,2650.0,1250.0,19.7,12.8,6085
813,2014,Heerenveen,28730,14015,14720,46.0,39.0,8.0,16.82,0.51,14.85,13465,30.0,64.0,36.0,49.0,50.0,2650.0,1200.0,21.5,11.6,12960
848,2014,Kollumerland en Nieuwkruisland,5525,2760,2765,43.0,44.0,6.0,16.24,0.42,11.59,2320,35.0,82.0,18.0,61.0,38.0,2650.0,1400.0,19.1,10.3,2615
870,2014,Leeuwarden,4920,2630,2285,75.0,13.0,9.0,17.48,0.74,19.03,3665,18.0,16.0,84.0,17.0,81.0,2000.0,1000.0,19.5,29.3,1210
1025,2014,Leeuwarderadeel,8465,4210,4250,42.0,48.0,5.0,16.09,0.39,10.97,3470,37.0,92.0,8.0,73.0,26.0,2850.0,1400.0,21.1,8.2,3940
1040,2014,Ooststellingwerf,9880,4855,5025,43.0,42.0,8.0,17.05,0.48,12.21,4440,33.0,86.0,14.0,55.0,44.0,2850.0,1450.0,19.2,13.0,4700
1069,2014,Opsterland,7340,3610,3730,42.0,44.0,7.0,16.82,0.48,12.0,3315,33.0,81.0,19.0,57.0,40.0,2750.0,1350.0,19.3,11.5,3480
1106,2014,Schiermonnikoog,940,475,465,40.0,45.0,8.0,14.95,0.31,8.82,495,31.0,84.0,16.0,54.0,43.0,2950.0,1600.0,21.9,8.2,325
1108,2014,Smallingerland,44570,21890,22680,45.0,41.0,8.0,17.08,0.55,15.6,20040,30.0,76.0,24.0,56.0,43.0,2700.0,1300.0,20.0,12.3,20005
1138,2014,Terschelling,2435,1375,1060,49.0,37.0,7.0,14.62,0.29,8.4,1390,28.0,83.0,17.0,57.0,38.0,2800.0,1550.0,22.2,6.9,1000
1156,2014,Vlieland,1110,540,565,48.0,39.0,9.0,14.84,0.29,8.12,595,30.0,77.0,23.0,45.0,52.0,3100.0,1450.0,23.4,9.1,370
1158,2014,Weststellingwerf,12540,6150,6390,43.0,42.0,7.0,17.22,0.51,13.25,5590,32.0,82.0,18.0,50.0,49.0,2750.0,1350.0,18.6,10.5,5830
1234,2014,Assen,5640,2670,2970,40.0,36.0,13.0,17.59,0.67,16.06,3250,30.0,31.0,69.0,43.0,55.0,2400.0,1300.0,26.4,13.6,2610
1412,2014,Coevorden,14540,7110,7425,43.0,43.0,7.0,18.84,0.56,13.77,6420,31.0,79.0,21.0,58.0,40.0,3050.0,1350.0,19.5,12.7,6680
1509,2014,Emmen,3585,1845,1740,43.0,44.0,8.0,18.1,0.46,12.03,1475,34.0,96.0,4.0,65.0,33.0,3400.0,1700.0,17.5,11.2,1955
1648,2014,Hoogeveen,24820,12145,12675,44.0,40.0,8.0,18.56,0.59,15.26,11850,31.0,63.0,37.0,50.0,49.0,2650.0,1250.0,18.4,12.5,10820
1699,2014,Meppel,28725,14010,14710,46.0,41.0,8.0,18.48,0.65,15.65,12800,31.0,70.0,30.0,54.0,44.0,2900.0,1200.0,21.8,9.6,13055
1709,2014,Littenseradiel,3985,1995,1990,46.0,43.0,5.0,16.47,0.4,10.49,1620,34.0,92.0,8.0,69.0,31.0,2850.0,1450.0,20.3,7.1,1905
1778,2014,Almelo,5120,2425,2690,44.0,34.0,12.0,20.28,0.8,17.6,3040,28.0,32.0,68.0,29.0,70.0,2300.0,900.0,21.5,14.8,2250
