Unnamed: 0,ID,Source,Periods,Gross production normalized,Gross production,Net production,Installations in year,Capacity (megawatt)
0,0,Total,1990,809,807,725,0,0
1,1,Total,1991,930,935,851,0,0
2,2,Total,1992,982,994,898,0,0
3,3,Total,1993,1128,1107,957,0,0
4,4,Total,1994,1252,1257,1093,0,0
5,5,Total,1995,1423,1404,1220,0,0
6,6,Total,1996,1841,1816,1582,0,0
7,7,Total,1997,2045,2015,1732,0,0
8,8,Total,1998,2259,2328,2024,0,0
9,9,Total,1999,2530,2509,2194,0,0
10,10,Total,2000,2871,2979,2657,0,0
11,11,Total,2001,3307,3309,2985,0,0
12,12,Total,2002,4062,3981,3627,0,0
13,13,Total,2003,4048,3969,3642,0,0
14,14,Total,2004,5228,5314,4954,0,0
15,15,Total,2005,7448,7452,7005,0,0
16,16,Total,2006,7868,8049,7579,0,0
17,17,Total,2007,7322,7584,7139,0,0
18,18,Total,2008,9214,9533,8963,0,0
19,19,Total,2009,10755,10835,10187,0,0
20,20,Total,2010,11718,11196,10485,0,0
21,21,Total,2011,11985,12320,11584,0,0
22,22,Total,2012,12456,12481,11742,0,0
23,23,Total,2013,11881,12106,11429,0,0
24,24,Total,2014,11733,11648,10979,0,0
25,25,Total,2015,13152,13685,13009,0,0
26,26,Total,2016,15073,14777,14103,0,0
27,27,Total,2017,16673,17437,16764,0,0
28,28,Total,2018,18533,18892,18242,0,0
29,29,Total,2019,22213,22732,21978,0,0
30,30,Total,2020,31235,32315,31364,0,0
31,31,Hydro,1990,85,85,85,5,37
32,32,Hydro,1991,95,104,104,5,37
33,33,Hydro,1992,103,120,120,5,37
34,34,Hydro,1993,100,92,92,5,37
35,35,Hydro,1994,100,100,100,5,37
36,36,Hydro,1995,98,88,88,5,37
37,37,Hydro,1996,96,80,80,5,37
38,38,Hydro,1997,95,92,92,5,37
39,39,Hydro,1998,97,112,112,5,37
40,40,Hydro,1999,96,90,90,5,37
41,41,Hydro,2000,100,142,142,6,37
42,42,Hydro,2001,102,117,117,6,37
43,43,Hydro,2002,103,110,110,6,37
44,44,Hydro,2003,100,72,72,6,37
45,45,Hydro,2004,100,95,95,6,37
46,46,Hydro,2005,100,88,88,6,37
47,47,Hydro,2006,100,106,106,6,37
48,48,Hydro,2007,99,107,107,6,37
49,49,Hydro,2008,100,102,102,6,37
50,50,Hydro,2009,100,98,98,6,37
51,51,Hydro,2010,101,105,105,7,37
52,52,Hydro,2011,100,57,57,7,37
53,53,Hydro,2012,100,104,104,7,37
54,54,Hydro,2013,101,114,114,7,37
55,55,Hydro,2014,102,112,112,7,37
56,56,Hydro,2015,99,93,93,7,37
57,57,Hydro,2016,98,100,100,7,37
58,58,Hydro,2017,94,61,61,7,37
59,59,Hydro,2018,94,72,72,7,37
60,60,Hydro,2019,93,74,74,7,37
61,61,Hydro,2020,90,46,46,0,37
62,62,wind-total,1990,56,56,56,323,50
63,63,wind-total,1991,88,88,88,429,83
64,64,wind-total,1992,137,147,147,497,101
65,65,wind-total,1993,173,174,174,633,131
66,66,wind-total,1994,221,238,238,724,152
67,67,wind-total,1995,314,317,317,1008,250
68,68,wind-total,1996,435,437,437,1115,296
69,69,wind-total,1997,489,475,475,1148,324
70,70,wind-total,1998,571,640,640,1193,363
71,71,wind-total,1999,642,645,645,1253,410
72,72,wind-total,2000,744,829,829,1291,447
73,73,wind-total,2001,822,825,825,1342,485
74,74,wind-total,2002,1020,947,947,1454,672
75,75,wind-total,2003,1359,1320,1320,1598,905
76,76,wind-total,2004,1763,1871,1871,1654,1075
77,77,wind-total,2005,2034,2067,2067,1710,1224
78,78,wind-total,2006,2540,2734,2734,1830,1561
79,79,wind-total,2007,3166,3438,3438,1891,1749
80,80,wind-total,2008,3925,4260,4260,2038,2149
81,81,wind-total,2009,4481,4581,4581,1972,2222
82,82,wind-total,2010,4503,3993,3993,1973,2237
83,83,wind-total,2011,4725,5100,5100,1978,2316
84,84,wind-total,2012,4939,4982,4982,1978,2433
85,85,wind-total,2013,5368,5627,5627,2073,2713
86,86,wind-total,2014,5810,5797,5797,2124,2865
87,87,wind-total,2015,6917,7550,7550,2171,3391
88,88,wind-total,2016,8364,8170,8170,2331,4257
89,89,wind-total,2017,9642,10569,10569,2270,4202
90,90,wind-total,2018,10030,10549,10548,2318,4393
91,91,wind-total,2019,10774,11508,11508,2321,4484
92,92,wind-total,2020,13945,15339,15339,2606,6619
93,93,wind-shore,1990,56,56,56,323,50
94,94,wind-shore,1991,88,88,88,429,83
95,95,wind-shore,1992,137,147,147,497,101
96,96,wind-shore,1993,173,174,174,633,131
97,97,wind-shore,1994,221,238,238,724,152
98,98,wind-shore,1995,314,317,317,1008,250
99,99,wind-shore,1996,435,437,437,1115,296
100,100,wind-shore,1997,489,475,475,1148,324
101,101,wind-shore,1998,571,640,640,1193,363
102,102,wind-shore,1999,642,645,645,1253,410
103,103,wind-shore,2000,744,829,829,1291,447
104,104,wind-shore,2001,822,825,825,1342,485
105,105,wind-shore,2002,1020,947,947,1454,672
106,106,wind-shore,2003,1359,1320,1320,1598,905
107,107,wind-shore,2004,1763,1871,1871,1654,1075
108,108,wind-shore,2005,2034,2067,2067,1710,1224
109,109,wind-shore,2006,2477,2666,2666,1794,1453
110,110,wind-shore,2007,2862,3108,3108,1855,1641
111,111,wind-shore,2008,3376,3664,3664,1942,1921
112,112,wind-shore,2009,3762,3846,3846,1876,1994
113,113,wind-shore,2010,3737,3315,3315,1877,2009
114,114,wind-shore,2011,3982,4298,4298,1882,2088
115,115,wind-shore,2012,4156,4193,4193,1882,2205
116,116,wind-shore,2013,4632,4856,4856,1977,2485
117,117,wind-shore,2014,5060,5049,5049,2028,2637
118,118,wind-shore,2015,5882,6420,6420,2032,3034
119,119,wind-shore,2016,6041,5901,5901,2042,3300
120,120,wind-shore,2017,6267,6869,6869,1981,3245
121,121,wind-shore,2018,6578,6918,6918,2029,3436
122,122,wind-shore,2019,7429,7935,7935,2032,3527
123,123,wind-shore,2020,8960,9856,9856,2144,4159
124,124,wind-offshore,1990,0,0,0,0,0
125,125,wind-offshore,1991,0,0,0,0,0
126,126,wind-offshore,1992,0,0,0,0,0
127,127,wind-offshore,1993,0,0,0,0,0
128,128,wind-offshore,1994,0,0,0,0,0
129,129,wind-offshore,1995,0,0,0,0,0
130,130,wind-offshore,1996,0,0,0,0,0
131,131,wind-offshore,1997,0,0,0,0,0
132,132,wind-offshore,1998,0,0,0,0,0
133,133,wind-offshore,1999,0,0,0,0,0
134,134,wind-offshore,2000,0,0,0,0,0
135,135,wind-offshore,2001,0,0,0,0,0
136,136,wind-offshore,2002,0,0,0,0,0
137,137,wind-offshore,2003,0,0,0,0,0
138,138,wind-offshore,2004,0,0,0,0,0
139,139,wind-offshore,2005,0,0,0,0,0
140,140,wind-offshore,2006,63,68,68,36,108
141,141,wind-offshore,2007,303,330,330,36,108
142,142,wind-offshore,2008,549,596,596,96,228
143,143,wind-offshore,2009,719,735,735,96,228
144,144,wind-offshore,2010,765,679,679,96,228
145,145,wind-offshore,2011,743,802,802,96,228
146,146,wind-offshore,2012,782,789,789,96,228
147,147,wind-offshore,2013,736,771,771,96,228
148,148,wind-offshore,2014,750,748,748,96,228
149,149,wind-offshore,2015,1035,1130,1130,139,357
150,150,wind-offshore,2016,2323,2269,2269,289,957
151,151,wind-offshore,2017,3375,3700,3700,289,957
152,152,wind-offshore,2018,3452,3630,3630,289,957
153,153,wind-offshore,2019,3345,3573,3573,289,957
154,154,wind-offshore,2020,4985,5484,5484,462,2460
155,155,solar,1990,0,0,0,0,1
156,156,solar,1991,1,1,1,0,1
157,157,solar,1992,1,1,1,0,1
158,158,solar,1993,1,1,1,0,2
159,159,solar,1994,1,1,1,0,2
160,160,solar,1995,2,2,2,0,2
161,161,solar,1996,2,2,2,0,3
162,162,solar,1997,3,3,3,0,4
163,163,solar,1998,4,4,4,0,6
164,164,solar,1999,5,5,5,0,9
165,165,solar,2000,8,8,8,0,13
166,166,solar,2001,12,12,12,0,21
167,167,solar,2002,16,16,16,0,26
168,168,solar,2003,25,25,25,0,46
169,169,solar,2004,34,34,34,0,50
170,170,solar,2005,35,35,35,0,51
171,171,solar,2006,37,37,37,0,53
172,172,solar,2007,38,38,38,0,54
173,173,solar,2008,40,40,40,0,59
174,174,solar,2009,45,45,45,0,69
175,175,solar,2010,56,56,56,0,90
176,176,solar,2011,104,104,104,0,149
177,177,solar,2012,191,191,191,0,287
178,178,solar,2013,410,410,410,0,650
179,179,solar,2014,725,725,725,0,1007
180,180,solar,2015,1109,1109,1109,0,1526
181,181,solar,2016,1602,1602,1602,0,2135
182,182,solar,2017,2208,2208,2208,0,2911
183,183,solar,2018,3709,3709,3709,0,4608
184,184,solar,2019,5336,5336,5336,0,7226
185,185,solar,2020,8144,8144,8144,0,10717
186,186,biomass-total,1990,668,665,583,0,0
187,187,biomass-total,1991,747,742,658,0,0
188,188,biomass-total,1992,741,726,630,0,0
189,189,biomass-total,1993,854,839,690,0,0
190,190,biomass-total,1994,930,918,754,0,0
191,191,biomass-total,1995,1009,998,814,0,0
192,192,biomass-total,1996,1308,1297,1063,0,0
193,193,biomass-total,1997,1458,1446,1162,0,0
194,194,biomass-total,1998,1587,1572,1269,0,0
195,195,biomass-total,1999,1786,1768,1453,0,0
196,196,biomass-total,2000,2019,1999,1678,0,0
197,197,biomass-total,2001,2372,2355,2031,0,0
198,198,biomass-total,2002,2923,2908,2554,0,0
199,199,biomass-total,2003,2564,2552,2225,0,0
200,200,biomass-total,2004,3332,3315,2955,0,0
201,201,biomass-total,2005,5279,5262,4815,0,0
202,202,biomass-total,2006,5191,5173,4703,0,0
203,203,biomass-total,2007,4019,4001,3556,0,0
204,204,biomass-total,2008,5149,5132,4562,0,0
205,205,biomass-total,2009,6130,6111,5463,0,0
206,206,biomass-total,2010,7058,7043,6331,0,0
207,207,biomass-total,2011,7056,7059,6323,0,0
208,208,biomass-total,2012,7226,7204,6465,0,0
209,209,biomass-total,2013,6003,5954,5277,0,0
210,210,biomass-total,2014,5096,5013,4345,0,0
211,211,biomass-total,2015,5028,4934,4258,0,0
212,212,biomass-total,2016,5010,4905,4231,0,0
213,213,biomass-total,2017,4729,4599,3926,0,0
214,214,biomass-total,2018,4700,4561,3912,0,0
215,215,biomass-total,2019,6011,5814,5060,0,0
216,216,biomass-total,2020,9056,8785,7835,0,0
217,217,biomass-municipal-waste,1990,539,539,462,0,196
218,218,biomass-municipal-waste,1991,588,588,510,0,197
219,219,biomass-municipal-waste,1992,567,567,476,0,197
220,220,biomass-municipal-waste,1993,634,634,492,0,277
221,221,biomass-municipal-waste,1994,661,661,506,0,277
222,222,biomass-municipal-waste,1995,703,703,528,0,277
223,223,biomass-municipal-waste,1996,953,953,731,0,387
224,224,biomass-municipal-waste,1997,1108,1108,836,0,394
225,225,biomass-municipal-waste,1998,1188,1188,898,0,394
226,226,biomass-municipal-waste,1999,1261,1261,967,0,394
227,227,biomass-municipal-waste,2000,1272,1272,987,11,394
228,228,biomass-municipal-waste,2001,1214,1214,945,11,394
229,229,biomass-municipal-waste,2002,1207,1207,933,11,394
230,230,biomass-municipal-waste,2003,1208,1208,946,11,400
231,231,biomass-municipal-waste,2004,1178,1178,915,11,400
232,232,biomass-municipal-waste,2005,1266,1266,984,11,429
233,233,biomass-municipal-waste,2006,1312,1312,1013,11,429
234,234,biomass-municipal-waste,2007,1395,1395,1095,11,506
235,235,biomass-municipal-waste,2008,1409,1409,1070,11,506
236,236,biomass-municipal-waste,2009,1572,1572,1207,11,546
237,237,biomass-municipal-waste,2010,1763,1763,1397,11,586
238,238,biomass-municipal-waste,2011,2034,2034,1634,12,649
239,239,biomass-municipal-waste,2012,2235,2235,1800,12,649
240,240,biomass-municipal-waste,2013,2076,2076,1667,12,649
241,241,biomass-municipal-waste,2014,1909,1909,1481,12,649
242,242,biomass-municipal-waste,2015,1997,1997,1550,12,649
243,243,biomass-municipal-waste,2016,2005,2005,1569,12,649
244,244,biomass-municipal-waste,2017,1904,1904,1478,12,649
245,245,biomass-municipal-waste,2018,2172,2172,1753,12,800
246,246,biomass-municipal-waste,2019,2082,2082,1651,0,778
247,247,biomass-municipal-waste,2020,2152,2152,1747,0,0
248,248,cofire-biomass,1990,0,0,0,0,0
249,249,cofire-biomass,1991,0,0,0,0,0
250,250,cofire-biomass,1992,0,0,0,0,0
251,251,cofire-biomass,1993,0,0,0,0,0
252,252,cofire-biomass,1994,0,0,0,0,0
253,253,cofire-biomass,1995,4,4,4,0,0
254,254,cofire-biomass,1996,42,42,40,0,0
255,255,cofire-biomass,1997,40,40,38,0,0
256,256,cofire-biomass,1998,101,101,96,0,0
257,257,cofire-biomass,1999,165,165,157,0,0
258,258,cofire-biomass,2000,208,208,198,0,0
259,259,cofire-biomass,2001,591,591,563,0,0
260,260,cofire-biomass,2002,1134,1134,1082,0,0
261,261,cofire-biomass,2003,795,795,757,0,0
262,262,cofire-biomass,2004,1609,1609,1539,0,0
263,263,cofire-biomass,2005,3449,3449,3310,0,0
264,264,cofire-biomass,2006,3244,3244,3103,0,0
265,265,cofire-biomass,2007,1816,1816,1711,0,0
266,266,cofire-biomass,2008,2248,2248,2116,0,0
267,267,cofire-biomass,2009,2615,2615,2472,0,0
268,268,cofire-biomass,2010,3237,3237,3043,0,0
269,269,cofire-biomass,2011,3182,3182,2979,0,0
270,270,cofire-biomass,2012,2953,2953,2802,0,0
271,271,cofire-biomass,2013,1814,1814,1699,0,0
272,272,cofire-biomass,2014,933,933,867,0,0
273,273,cofire-biomass,2015,514,514,485,0,0
274,274,cofire-biomass,2016,442,442,419,0,0
275,275,cofire-biomass,2017,530,530,503,0,0
276,276,cofire-biomass,2018,654,654,608,0,0
277,277,cofire-biomass,2019,1865,1865,1730,0,0
278,278,cofire-biomass,2020,4766,4766,4409,0,0
279,279,biomass-boiler,1990,34,34,33,0,0
280,280,biomass-boiler,1991,34,34,32,0,0
281,281,biomass-boiler,1992,30,30,29,0,0
282,282,biomass-boiler,1993,25,25,24,0,0
283,283,biomass-boiler,1994,31,31,29,0,0
284,284,biomass-boiler,1995,36,36,35,0,0
285,285,biomass-boiler,1996,30,30,29,0,0
286,286,biomass-boiler,1997,31,31,29,0,0
287,287,biomass-boiler,1998,27,27,25,0,0
288,288,biomass-boiler,1999,66,66,62,0,0
289,289,biomass-boiler,2000,234,234,216,4,0
290,290,biomass-boiler,2001,239,239,221,5,0
291,291,biomass-boiler,2002,233,233,216,4,0
292,292,biomass-boiler,2003,223,223,205,5,0
293,293,biomass-boiler,2004,235,235,217,5,0
294,294,biomass-boiler,2005,253,253,235,5,0
295,295,biomass-boiler,2006,256,256,236,6,0
296,296,biomass-boiler,2007,279,279,254,13,0
297,297,biomass-boiler,2008,741,741,664,17,0
298,298,biomass-boiler,2009,1009,1009,895,17,0
299,299,biomass-boiler,2010,1015,1015,894,18,0
300,300,biomass-boiler,2011,794,806,705,18,0
301,301,biomass-boiler,2012,1007,1007,885,18,0
302,302,biomass-boiler,2013,1084,1084,961,20,0
303,303,biomass-boiler,2014,1166,1166,1021,18,0
304,304,biomass-boiler,2015,1388,1388,1219,19,0
305,305,biomass-boiler,2016,1465,1465,1281,18,0
306,306,biomass-boiler,2017,1242,1242,1050,19,0
307,307,biomass-boiler,2018,849,849,692,21,0
308,308,biomass-boiler,2019,972,972,814,0,0
309,309,biomass-boiler,2020,1021,1021,861,0,0
310,310,total-biogas,1990,94,91,88,0,19
311,311,total-biogas,1991,125,120,116,0,21
312,312,total-biogas,1992,144,129,125,0,22
313,313,total-biogas,1993,194,180,175,0,35
314,314,total-biogas,1994,238,225,219,0,45
315,315,total-biogas,1995,266,254,247,0,51
316,316,total-biogas,1996,283,272,264,0,55
317,317,total-biogas,1997,279,267,259,0,52
318,318,total-biogas,1998,271,257,249,0,54
319,319,total-biogas,1999,294,276,268,0,56
320,320,total-biogas,2000,305,286,277,0,59
321,321,total-biogas,2001,328,310,301,0,61
322,322,total-biogas,2002,348,333,323,0,66
323,323,total-biogas,2003,339,327,317,0,65
324,324,total-biogas,2004,310,293,284,0,59
325,325,total-biogas,2005,312,295,286,0,68
326,326,total-biogas,2006,379,361,351,0,89
327,327,total-biogas,2007,529,511,496,0,124
328,328,total-biogas,2008,751,733,711,0,167
329,329,total-biogas,2009,934,916,888,0,186
330,330,total-biogas,2010,1044,1028,997,0,200
331,331,total-biogas,2011,1045,1036,1005,0,217
332,332,total-biogas,2012,1031,1009,979,0,219
333,333,total-biogas,2013,1028,980,951,0,230
334,334,total-biogas,2014,1077,1005,976,0,237
335,335,total-biogas,2015,1130,1036,1005,0,239
336,336,total-biogas,2016,1098,993,961,0,221
337,337,total-biogas,2017,1053,923,896,0,221
338,338,total-biogas,2018,1026,887,860,0,229
339,339,total-biogas,2019,1091,895,865,0,203
340,340,total-biogas,2020,1116,846,818,0,0
341,341,biogas-landfills,1990,19,17,16,0,4
342,342,biogas-landfills,1991,34,29,28,0,6
343,343,biogas-landfills,1992,47,32,31,0,7
344,344,biogas-landfills,1993,92,78,76,0,17
345,345,biogas-landfills,1994,136,124,120,0,27
346,346,biogas-landfills,1995,153,142,138,0,31
347,347,biogas-landfills,1996,171,160,155,0,35
348,348,biogas-landfills,1997,157,145,141,0,32
349,349,biogas-landfills,1998,163,149,145,0,33
350,350,biogas-landfills,1999,171,153,149,0,34
351,351,biogas-landfills,2000,177,158,153,0,35
352,352,biogas-landfills,2001,182,165,160,0,37
353,353,biogas-landfills,2002,197,181,176,0,40
354,354,biogas-landfills,2003,183,171,166,0,38
355,355,biogas-landfills,2004,155,138,134,0,32
356,356,biogas-landfills,2005,148,131,127,0,31
357,357,biogas-landfills,2006,144,127,123,0,32
358,358,biogas-landfills,2007,132,114,111,0,30
359,359,biogas-landfills,2008,126,109,106,0,31
360,360,biogas-landfills,2009,118,100,97,0,29
361,361,biogas-landfills,2010,109,93,90,0,28
362,362,biogas-landfills,2011,87,82,79,0,27
363,363,biogas-landfills,2012,74,68,66,0,23
364,364,biogas-landfills,2013,60,55,53,0,24
365,365,biogas-landfills,2014,55,46,46,0,20
366,366,biogas-landfills,2015,50,43,42,0,20
367,367,biogas-landfills,2016,40,34,33,0,21
368,368,biogas-landfills,2017,36,30,29,0,21
369,369,biogas-landfills,2018,29,23,21,0,19
370,370,biogas-landfills,2019,28,21,17,0,20
371,371,biogas-landfills,2020,0,0,0,0,0
372,372,biogas-sewage,1990,71,71,68,0,14
373,373,biogas-sewage,1991,87,87,84,0,13
374,374,biogas-sewage,1992,92,92,89,0,13
375,375,biogas-sewage,1993,95,95,92,0,16
376,376,biogas-sewage,1994,98,98,96,0,17
377,377,biogas-sewage,1995,106,106,103,0,17
378,378,biogas-sewage,1996,102,102,99,0,17
379,379,biogas-sewage,1997,113,113,110,0,17
380,380,biogas-sewage,1998,98,98,95,0,18
381,381,biogas-sewage,1999,109,109,106,0,19
382,382,biogas-sewage,2000,111,111,107,0,19
383,383,biogas-sewage,2001,129,129,125,0,20
384,384,biogas-sewage,2002,130,130,126,0,20
385,385,biogas-sewage,2003,129,129,125,0,20
386,386,biogas-sewage,2004,133,133,129,0,22
387,387,biogas-sewage,2005,123,123,120,0,23
388,388,biogas-sewage,2006,132,132,128,0,28
389,389,biogas-sewage,2007,143,143,139,0,34
390,390,biogas-sewage,2008,150,150,145,0,34
391,391,biogas-sewage,2009,151,151,146,0,34
392,392,biogas-sewage,2010,164,164,159,0,36
393,393,biogas-sewage,2011,173,173,168,0,37
394,394,biogas-sewage,2012,185,185,179,0,40
395,395,biogas-sewage,2013,194,194,188,0,41
396,396,biogas-sewage,2014,201,201,195,0,44
397,397,biogas-sewage,2015,206,206,200,0,43
398,398,biogas-sewage,2016,208,208,200,0,38
399,399,biogas-sewage,2017,196,196,190,0,38
400,400,biogas-sewage,2018,198,195,189,0,44
401,401,biogas-sewage,2019,207,202,196,0,41
402,402,biogas-sewage,2020,215,203,197,0,0
403,403,biogas-codigestion,1990,0,0,0,0,0
404,404,biogas-codigestion,1991,0,0,0,0,0
405,405,biogas-codigestion,1992,0,0,0,0,0
406,406,biogas-codigestion,1993,0,0,0,0,0
407,407,biogas-codigestion,1994,0,0,0,0,0
